Limitation_ID,Project_ID,Limitation,Description,Country,Funding_Source,Project_Duration,Stakeholders_Involved,Public_Response,Regulatory_Barriers,Technological_Readiness,Environmental_Benefits,Energy_Storage_Capacity
40,75,Limitation 39,Description for limitation 39,Canada,Government,9,2,Neutral,Low,In Development,High,75.80670279469747
41,24,Limitation 40,Description for limitation 40,Canada,Public-Private Partnership,8,1,Positive,Medium,In Development,High,45.062616797431325
42,58,Limitation 41,Description for limitation 41,Australia,Public-Private Partnership,4,3,Positive,High,Ready,High,39.42045974436069
43,97,Limitation 42,Description for limitation 42,Germany,Public-Private Partnership,6,4,Negative,Medium,Ready,Low,20.758928986455476
44,78,Limitation 43,Description for limitation 43,Israel,Research Grants,3,1,Negative,Low,Prototype,Low,49.67895414413049
45,22,Limitation 44,Description for limitation 44,Australia,Public-Private Partnership,7,1,Neutral,Medium,Ready,High,38.839801271099994
46,93,Limitation 45,Description for limitation 45,Israel,Public-Private Partnership,4,1,Positive,High,Prototype,Medium,27.635148601204783
47,24,Limitation 46,Description for limitation 46,USA,Public-Private Partnership,9,4,Positive,Medium,Ready,Low,24.667920213319817
48,6,Limitation 47,Description for limitation 47,Canada,Government,5,1,Neutral,Low,Ready,High,39.68526349616772
49,62,Limitation 48,Description for limitation 48,Canada,Research Grants,9,1,Neutral,Medium,In Development,Medium,81.23648450575533
50,3,Limitation 49,Description for limitation 49,UK,Private,1,4,Neutral,Medium,In Development,High,80.6176671252661
51,1,Limitation 50,Description for limitation 50,Italy,Research Grants,9,1,Negative,Low,Ready,Low,98.07674169621612
52,10,Limitation 51,Description for limitation 51,Australia,Government,5,3,Negative,Low,In Development,Medium,47.771634096243226
53,72,Limitation 52,Description for limitation 52,Italy,Private,1,3,Positive,Medium,Prototype,Medium,89.84497162943336
54,30,Limitation 53,Description for limitation 53,South Korea,Research Grants,6,2,Positive,Low,Ready,Low,94.03088140100148
55,22,Limitation 54,Description for limitation 54,USA,Government,6,3,Positive,High,Prototype,Low,42.611498272123896
56,81,Limitation 55,Description for limitation 55,Israel,Government,3,1,Negative,Medium,Ready,Low,53.960241929674275
57,79,Limitation 56,Description for limitation 56,Germany,Private,5,3,Positive,Low,Ready,Medium,40.55524011896678
58,84,Limitation 57,Description for limitation 57,Australia,Government,9,4,Positive,Medium,Ready,High,19.668206682930357
59,38,Limitation 58,Description for limitation 58,USA,Private,9,4,Positive,High,Ready,High,46.19085658085654
60,91,Limitation 59,Description for limitation 59,France,Research Grants,5,4,Negative,High,Ready,High,96.70369772368328
61,77,Limitation 60,Description for limitation 60,Canada,Private,2,1,Negative,Low,In Development,Low,84.00833636793416
62,80,Limitation 61,Description for limitation 61,France,Private,9,4,Neutral,Medium,Prototype,Low,78.5651185375591
63,84,Limitation 62,Description for limitation 62,Canada,Government,9,1,Positive,High,Ready,High,19.083370545441003
64,19,Limitation 63,Description for limitation 63,Italy,Public-Private Partnership,9,3,Negative,High,In Development,Low,10.971280270825734
65,67,Limitation 64,Description for limitation 64,France,Government,4,4,Positive,Medium,Ready,Low,22.597036266778762
66,17,Limitation 65,Description for limitation 65,Australia,Government,4,1,Negative,High,Ready,High,44.99999912065052
67,76,Limitation 66,Description for limitation 66,France,Research Grants,3,1,Neutral,High,Prototype,High,92.89771515574589
68,100,Limitation 67,Description for limitation 67,Germany,Private,6,1,Negative,High,Ready,Low,22.00242413216611
69,10,Limitation 68,Description for limitation 68,France,Research Grants,8,1,Negative,High,Prototype,Medium,61.523488978916646
70,74,Limitation 69,Description for limitation 69,France,Research Grants,6,4,Positive,High,Ready,Low,58.22204578300446
71,31,Limitation 70,Description for limitation 70,USA,Private,9,1,Positive,Low,In Development,Medium,24.476922293472377
72,23,Limitation 71,Description for limitation 71,Canada,Research Grants,8,3,Positive,High,Ready,Medium,81.3407843991751
73,21,Limitation 72,Description for limitation 72,Japan,Public-Private Partnership,1,1,Negative,High,In Development,Medium,13.137702325710066
74,84,Limitation 73,Description for limitation 73,USA,Private,3,3,Positive,Medium,In Development,Medium,17.08612504962938
75,69,Limitation 74,Description for limitation 74,UK,Research Grants,8,3,Positive,Medium,In Development,Medium,86.12304487040609
76,80,Limitation 75,Description for limitation 75,UK,Public-Private Partnership,4,3,Neutral,Low,In Development,Low,41.14731953908098
77,34,Limitation 76,Description for limitation 76,Canada,Government,6,4,Positive,Low,Ready,High,98.56719432112594
78,65,Limitation 77,Description for limitation 77,Canada,Private,2,3,Positive,High,Ready,Medium,31.27347451223457
79,16,Limitation 78,Description for limitation 78,Germany,Government,6,3,Negative,Medium,In Development,Medium,91.0430984342264
80,78,Limitation 79,Description for limitation 79,Japan,Research Grants,2,1,Neutral,High,In Development,Medium,61.64346840967913
81,10,Limitation 80,Description for limitation 80,Australia,Public-Private Partnership,2,3,Positive,Medium,Prototype,Low,45.40466440592363
82,50,Limitation 81,Description for limitation 81,Italy,Public-Private Partnership,3,4,Positive,Low,Ready,High,79.24219245851216
83,11,Limitation 82,Description for limitation 82,Germany,Public-Private Partnership,5,4,Negative,High,Prototype,Medium,85.5864891106523
84,35,Limitation 83,Description for limitation 83,Canada,Government,4,4,Positive,High,In Development,Medium,38.134708902533255
85,40,Limitation 84,Description for limitation 84,France,Public-Private Partnership,2,3,Positive,Low,Prototype,Low,52.92015521363192
86,49,Limitation 85,Description for limitation 85,Germany,Public-Private Partnership,2,2,Positive,Medium,Prototype,Medium,70.81089871166843
87,45,Limitation 86,Description for limitation 86,UK,Government,3,3,Neutral,Low,In Development,High,72.8278582134071
88,2,Limitation 87,Description for limitation 87,Australia,Government,9,3,Neutral,High,Prototype,High,37.03070639354022
89,73,Limitation 88,Description for limitation 88,Japan,Public-Private Partnership,2,2,Neutral,Medium,Prototype,Medium,18.343393483799986
90,1,Limitation 89,Description for limitation 89,Canada,Research Grants,8,3,Positive,High,Ready,Low,45.199451400455686
91,12,Limitation 90,Description for limitation 90,Australia,Research Grants,9,1,Negative,Low,In Development,High,41.02347608987825
92,27,Limitation 91,Description for limitation 91,Israel,Private,3,3,Negative,Medium,Ready,Low,18.065555993080793
93,95,Limitation 92,Description for limitation 92,UK,Public-Private Partnership,7,2,Positive,High,Ready,High,45.3869765699204
94,43,Limitation 93,Description for limitation 93,Israel,Private,6,3,Negative,Medium,In Development,High,61.40410028601045
95,20,Limitation 94,Description for limitation 94,Australia,Government,2,1,Negative,Medium,Prototype,Medium,99.67035705468031
96,86,Limitation 95,Description for limitation 95,Italy,Government,7,3,Negative,Medium,In Development,High,78.13079273765048
97,2,Limitation 96,Description for limitation 96,USA,Government,3,4,Neutral,Medium,In Development,Medium,39.75323068805196
98,61,Limitation 97,Description for limitation 97,USA,Government,6,1,Negative,Low,In Development,High,47.42052134623695
99,83,Limitation 98,Description for limitation 98,Israel,Research Grants,7,4,Neutral,High,In Development,High,20.63421139783136
100,93,Limitation 99,Description for limitation 99,South Korea,Government,2,4,Positive,High,Prototype,High,82.42165115160124
